TODO LIST
=========

|   Tâche                                                                    | Statut |
|----------------------------------------------------------------------------|--------|
| Vérifier si connecté, et/ou rang quand join une page                       |   ✔  	|
| Verifier que le nom modif ligue passe bien                                 |   ✔  	|
| Légende module note de frais                                               |   ✔  	|
| Empêcher l'upload de certain format / tailles                              |   ✔  	|
| Limiter la taille des input en fonction du champ                           |   ✔  	|
| Quand on valide, attente pour éviter le spam                               |   ✔  	|
| Mettre à jour le script de la base de données                              |   ✔  	|
| Connexion bug quand première fois connexion (due à config_utilisateur)     |   ✔  	|
| Module creer des types de note de frais                                    |   ✔  	|
|                                                                            |        |
| Ajouter un trigger sur la connexion (table_log -> date/heure, utilisateur) |   ✘  	|
| Changer_type_stockage_mdp par password_hash/verify                         |   ✘  	|
